subject,modality,input_3t,target_7t,input_3t_t2,seg
sub-01,T1w,sub-01/ses-1/anat/sub-01_ses-1_desc-preproc_T1w_registered.nii.gz,sub-01/ses-2/anat/sub-01_ses-2_desc-preproc_T1w.nii.gz,sub-01/ses-1/anat/sub-01_ses-1_desc-preproc_T2w_registered.nii.gz,sub-01/ses-2/anat/sub-01_ses-2_desc-preproc_T1w_seg.nii.gz
sub-02,T1w,sub-02/ses-1/anat/sub-02_ses-1_desc-preproc_T1w_registered.nii.gz,sub-02/ses-2/anat/sub-02_ses-2_desc-preproc_T1w.nii.gz,sub-02/ses-1/anat/sub-02_ses-1_desc-preproc_T2w_registered.nii.gz,sub-02/ses-2/anat/sub-02_ses-2_desc-preproc_T1w_seg.nii.gz
sub-03,T1w,sub-03/ses-1/anat/sub-03_ses-1_desc-preproc_T1w_registered.nii.gz,sub-03/ses-2/anat/sub-03_ses-2_desc-preproc_T1w.nii.gz,sub-03/ses-1/anat/sub-03_ses-1_desc-preproc_T2w_registered.nii.gz,sub-03/ses-2/anat/sub-03_ses-2_desc-preproc_T1w_seg.nii.gz
sub-04,T1w,sub-04/ses-1/anat/sub-04_ses-1_desc-preproc_T1w_registered.nii.gz,sub-04/ses-2/anat/sub-04_ses-2_desc-preproc_T1w.nii.gz,sub-04/ses-1/anat/sub-04_ses-1_desc-preproc_T2w_registered.nii.gz,sub-04/ses-2/anat/sub-04_ses-2_desc-preproc_T1w_seg.nii.gz
sub-05,T1w,sub-05/ses-1/anat/sub-05_ses-1_desc-preproc_T1w_registered.nii.gz,sub-05/ses-2/anat/sub-05_ses-2_desc-preproc_T1w.nii.gz,sub-05/ses-1/anat/sub-05_ses-1_desc-preproc_T2w_registered.nii.gz,sub-05/ses-2/anat/sub-05_ses-2_desc-preproc_T1w_seg.nii.gz
sub-06,T1w,sub-06/ses-1/anat/sub-06_ses-1_desc-preproc_T1w_registered.nii.gz,sub-06/ses-2/anat/sub-06_ses-2_desc-preproc_T1w.nii.gz,sub-06/ses-1/anat/sub-06_ses-1_desc-preproc_T2w_registered.nii.gz,sub-06/ses-2/anat/sub-06_ses-2_desc-preproc_T1w_seg.nii.gz
sub-07,T1w,sub-07/ses-1/anat/sub-07_ses-1_desc-preproc_T1w_registered.nii.gz,sub-07/ses-2/anat/sub-07_ses-2_desc-preproc_T1w.nii.gz,sub-07/ses-1/anat/sub-07_ses-1_desc-preproc_T2w_registered.nii.gz,sub-07/ses-2/anat/sub-07_ses-2_desc-preproc_T1w_seg.nii.gz
sub-08,T1w,sub-08/ses-1/anat/sub-08_ses-1_desc-preproc_T1w_registered.nii.gz,sub-08/ses-2/anat/sub-08_ses-2_desc-preproc_T1w.nii.gz,sub-08/ses-1/anat/sub-08_ses-1_desc-preproc_T2w_registered.nii.gz,sub-08/ses-2/anat/sub-08_ses-2_desc-preproc_T1w_seg.nii.gz
sub-09,T1w,sub-09/ses-1/anat/sub-09_ses-1_desc-preproc_T1w_registered.nii.gz,sub-09/ses-2/anat/sub-09_ses-2_desc-preproc_T1w.nii.gz,sub-09/ses-1/anat/sub-09_ses-1_desc-preproc_T2w_registered.nii.gz,sub-09/ses-2/anat/sub-09_ses-2_desc-preproc_T1w_seg.nii.gz
sub-10,T1w,sub-10/ses-1/anat/sub-10_ses-1_desc-preproc_T1w_registered.nii.gz,sub-10/ses-2/anat/sub-10_ses-2_desc-preproc_T1w.nii.gz,sub-10/ses-1/anat/sub-10_ses-1_desc-preproc_T2w_registered.nii.gz,sub-10/ses-2/anat/sub-10_ses-2_desc-preproc_T1w_seg.nii.gz
